id,url,zh_tw,en,translate,note
中出,https://www.airav.wiki/,中出,Creampie,中出,
巨乳,https://www.airav.wiki/,巨乳,Big Tits,巨乳,
口交,https://www.airav.wiki/,口交,Oral,口交,
潮吹,https://www.airav.wiki/,潮吹,Squirting,潮吹,
3P,https://www.airav.wiki/,3P,Threesome,3P,
多P,https://www.airav.wiki/,多P,Group Sex,多P,
SM,https://www.airav.wiki/,SM,BDSM,SM,
制服,https://www.airav.wiki/,制服,Uniform,制服,
熟女,https://www.airav.wiki/,熟女,Mature,熟女,
女优,https://www.airav.wiki/,女优,Actress,女优,
单体,https://www.airav.wiki/,单体,Solo,单体,
自拍,https://www.airav.wiki/,自拍,Selfie,自拍,
素人,https://www.airav.wiki/,素人,Amateur,素人,
丝袜,https://www.airav.wiki/,丝袜,Stockings,丝袜,
美腿,https://www.airav.wiki/,美腿,Beautiful Legs,美腿,
美臀,https://www.airav.wiki/,美臀,Beautiful Ass,美臀,
美乳,https://www.airav.wiki/,美乳,Beautiful Breasts,美乳,
美尻,https://www.airav.wiki/,美尻,Beautiful Ass,美尻,
苗条,https://www.airav.wiki/,苗条,Slender,苗条,
身材好,https://www.airav.wiki/,身材好,Good Figure,身材好,
颜射,https://www.airav.wiki/,颜射,Facial,颜射,
乳交,https://www.airav.wiki/,乳交,Titty Fuck,乳交,
足交,https://www.airav.wiki/,足交,Footjob,足交,
手交,https://www.airav.wiki/,手交,Handjob,手交,
后入,https://www.airav.wiki/,后入,Doggystyle,后入,
骑乘,https://www.airav.wiki/,骑乘,Cowgirl,骑乘,
69式,https://www.airav.wiki/,69式,69,69式,
女上位,https://www.airav.wiki/,女上位,Cowgirl,女上位,
男上位,https://www.airav.wiki/,男上位,Missionary,男上位,
侧入,https://www.airav.wiki/,侧入,Spoon,侧入,
站立,https://www.airav.wiki/,站立,Standing,站立,
浴室,https://www.airav.wiki/,浴室,Bathroom,浴室,
厨房,https://www.airav.wiki/,厨房,Kitchen,厨房,
教室,https://www.airav.wiki/,教室,Classroom,教室,
办公室,https://www.airav.wiki/,办公室,Office,办公室,
病房,https://www.airav.wiki/,病房,Hospital,病房,
旅馆,https://www.airav.wiki/,旅馆,Hotel,旅馆,
户外,https://www.airav.wiki/,户外,Outdoor,户外,
车内,https://www.airav.wiki/,车内,Car,车内,
泳池,https://www.airav.wiki/,泳池,Pool,泳池,
海边,https://www.airav.wiki/,海边,Beach,海边,
温泉,https://www.airav.wiki/,温泉,Hot Spring,温泉,
派对,https://www.airav.wiki/,派对,Party,派对,
聚会,https://www.airav.wiki/,聚会,Gathering,聚会,
约会,https://www.airav.wiki/,约会,Date,约会,
偷窥,https://www.airav.wiki/,偷窥,Voyeur,偷窥,
偷拍,https://www.airav.wiki/,偷拍,Hidden Camera,偷拍,
露点,https://www.airav.wiki/,露点,Nudity,露点,
无码,https://www.airav.wiki/,无码,Uncensored,无码,
有码,https://www.airav.wiki/,有码,Censored,有码,
马赛克,https://www.airav.wiki/,马赛克,Mosaic,马赛克,
破解,https://www.airav.wiki/,破解,Cracked,破解,
流出,https://www.airav.wiki/,流出,Leaked,流出,
盗摄,https://www.airav.wiki/,盗摄,Piracy,盗摄,
自拍片,https://www.airav.wiki/,自拍片,Selfie Video,自拍片,
网拍,https://www.airav.wiki/,网拍,Web Video,网拍,
直播,https://www.airav.wiki/,直播,Live Stream,直播,
VR,https://www.airav.wiki/,VR,Virtual Reality,VR,
360度,https://www.airav.wiki/,360度,360 Degree,360度,
HDR,https://www.airav.wiki/,HDR,High Dynamic Range,HDR,
4K,https://www.airav.wiki/,4K,4K Ultra HD,4K,
高清,https://www.airav.wiki/,高清,HD,高清,
标清,https://www.airav.wiki/,标清,SD,标清,
蓝光,https://www.airav.wiki/,蓝光,Blu-ray,蓝光,
DVD,https://www.airav.wiki/,DVD,DVD,DVD,
网络,https://www.airav.wiki/,网络,Online,网络,
下载,https://www.airav.wiki/,下载,Download,下载,
在线观看,https://www.airav.wiki/,在线观看,Watch Online,在线观看,
免费,https://www.airav.wiki/,免费,Free,免费,
付费,https://www.airav.wiki/,付费,Paid,付费,
会员,https://www.airav.wiki/,会员,Membership,会员,
订阅,https://www.airav.wiki/,订阅,Subscription,订阅,
VIP,https://www.airav.wiki/,VIP,VIP,VIP,
高级,https://www.airav.wiki/,高级,Premium,高级,
限定,https://www.airav.wiki/,限定,Exclusive,限定,
独家,https://www.airav.wiki/,独家,Exclusive,独家,
特别,https://www.airav.wiki/,特别,Special,特别,
精选,https://www.airav.wiki/,精选,Selected,精选,
推荐,https://www.airav.wiki/,推荐,Recommended,推荐,
热门,https://www.airav.wiki/,热门,Popular,热门,
最新,https://www.airav.wiki/,最新,New,最新,
经典,https://www.airav.wiki/,经典,Classic,经典,
怀旧,https://www.airav.wiki/,怀旧,Retro,怀旧,
复古,https://www.airav.wiki/,复古,Vintage,复古,
现代,https://www.airav.wiki/,现代,Modern,现代,
前卫,https://www.airav.wiki/,前卫,Avant-garde,前卫,
实验,https://www.airav.wiki/,实验,Experimental,实验,
艺术,https://www.airav.wiki/,艺术,Artistic,艺术,
文艺,https://www.airav.wiki/,文艺,Literary,文艺,
剧情,https://www.airav.wiki/,剧情,Story,剧情,
故事,https://www.airav.wiki/,故事,Story,故事,
情节,https://www.airav.wiki/,情节,Plot,情节,
主题,https://www.airav.wiki/,主题,Theme,主题,
题材,https://www.airav.wiki/,题材,Subject Matter,题材,
类型,https://www.airav.wiki/,类型,Genre,类型,
风格,https://www.airav.wiki/,风格,Style,风格,
手法,https://www.airav.wiki/,手法,Technique,手法,
技巧,https://www.airav.wiki/,技巧,Skill,技巧,
特色,https://www.airav.wiki/,特色,Feature,特色,
亮点,https://www.airav.wiki/,亮点,Highlight,亮点,
看点,https://www.airav.wiki/,看点,Attraction,看点,
卖点,https://www.airav.wiki/,卖点,Selling Point,卖点,
噱头,https://www.airav.wiki/,噱头,Gimmick,噱头,
话题,https://www.airav.wiki/,话题,Topic,话题,
热点,https://www.airav.wiki/,热点,Hot Topic,热点,
争议,https://www.airav.wiki/,争议,Controversy,争议,
讨论,https://www.airav.wiki/,讨论,Discussion,讨论,
评论,https://www.airav.wiki/,评论,Review,评论,
评价,https://www.airav.wiki/,评价,Evaluation,评价,
评分,https://www.airav.wiki/,评分,Rating,评分,
排行,https://www.airav.wiki/,排行,Ranking,排行,
榜单,https://www.airav.wiki/,榜单,Chart,榜单,
大奖,https://www.airav.wiki/,大奖,Award,大奖,
奖项,https://www.airav.wiki/,奖项,Award,奖项,
荣誉,https://www.airav.wiki/,荣誉,Honor,荣誉,
成就,https://www.airav.wiki/,成就,Achievement,成就,
记录,https://www.airav.wiki/,记录,Record,记录,
突破,https://www.airav.wiki/,突破,Breakthrough,突破,
创新,https://www.airav.wiki/,创新,Innovation,创新,
改革,https://www.airav.wiki/,改革,Reform,改革,
进步,https://www.airav.wiki/,进步,Progress,进步,
发展,https://www.airav.wiki/,发展,Development,发展,
成长,https://www.airav.wiki/,成长,Growth,成长,
变化,https://www.airav.wiki/,变化,Change,变化,
转变,https://www.airav.wiki/,转变,Transformation,转变,
进化,https://www.airav.wiki/,进化,Evolution,进化,
升级,https://www.airav.wiki/,升级,Upgrade,升级,
更新,https://www.airav.wiki/,更新,Update,更新,
版本,https://www.airav.wiki/,版本,Version,版本,
系列,https://www.airav.wiki/,系列,Series,系列,
番号,https://www.airav.wiki/,番号,ID Number,番号,
编号,https://www.airav.wiki/,编号,Serial Number,编号,
标签,https://www.airav.wiki/,标签,Tag,标签,
分类,https://www.airav.wiki/,分类,Category,分类,
目录,https://www.airav.wiki/,目录,Directory,目录,
索引,https://www.airav.wiki/,索引,Index,索引,
搜索,https://www.airav.wiki/,搜索,Search,搜索,
查找,https://www.airav.wiki/,查找,Find,查找,
发现,https://www.airav.wiki/,发现,Discover,发现,
探索,https://www.airav.wiki/,探索,Explore,探索,
研究,https://www.airav.wiki/,研究,Research,研究,
分析,https://www.airav.wiki/,分析,Analysis,分析,
理解,https://www.airav.wiki/,理解,Understand,理解,
学习,https://www.airav.wiki/,学习,Learn,学习,
